1,1,198,293,249,574,0
2,2,198,293,249,574,0
3,3,199,294,249,574,0
4,4,199,294,248,573,0
5,5,199,294,248,573,0
6,6,199,294,247,572,0
7,7,200,295,247,572,0
8,8,201,296,246,571,0
9,9,202,297,245,570,0
10,10,203,298,245,570,0
11,11,205,300,245,570,0
12,12,206,301,246,571,0
13,13,208,303,248,573,0
14,14,210,305,252,577,0
15,15,211,306,254,579,0
16,16,213,308,255,580,0
17,17,215,310,254,579,0
18,18,217,312,251,576,0
19,19,218,313,247,572,0
20,20,220,315,242,567,0
21,21,220,315,237,562,0
22,22,219,314,233,558,0
23,23,215,311,227,555,0
24,24,210,307,221,552,0
25,25,206,303,217,551,0
26,26,204,302,215,550,0
27,27,206,305,216,552,0
28,28,209,308,219,556,0
29,29,214,314,222,560,0
30,30,217,317,225,563,0
31,31,219,320,228,567,0
32,32,218,320,230,570,0
33,33,216,318,233,574,0
34,34,215,318,235,577,0
35,35,213,317,236,578,0
36,36,213,317,236,578,0
37,37,212,315,236,577,0
38,38,212,313,234,572,0
39,39,212,310,232,566,0
40,40,212,308,229,560,0
41,41,212,307,226,556,0
42,42,213,309,221,552,0
43,43,214,313,215,548,0
44,44,216,318,209,544,0
45,45,218,323,204,541,0
46,46,221,327,202,540,0
47,47,225,330,203,540,0
48,48,232,334,206,541,0
49,49,239,338,210,543,0
50,50,244,340,213,544,0
51,51,246,341,214,544,0
52,52,246,342,214,544,0
53,53,246,343,212,542,0
54,54,245,344,210,540,0
55,55,245,345,208,538,0
56,56,244,345,206,536,0
57,57,241,341,204,534,0
58,58,235,334,202,532,0
59,59,227,324,199,529,0
60,60,218,314,196,526,0
61,61,211,306,192,522,0
62,62,204,299,186,516,0
63,63,196,292,178,508,0
64,64,188,286,169,499,0
65,65,183,282,163,493,0
66,66,181,281,160,490,0
67,67,182,284,161,491,0
68,68,184,288,165,495,0
69,69,187,293,170,500,0
70,70,191,299,176,506,0
71,71,195,304,182,512,0
72,72,198,308,187,517,0
73,73,202,313,193,523,0
74,74,207,319,199,529,0
75,75,212,325,205,535,0
76,76,217,330,212,542,0
77,77,216,324,206,536,0
78,78,215,318,200,530,0
79,79,214,313,195,525,0
80,80,214,310,191,521,0
81,81,214,309,188,518,0
82,82,215,310,186,516,0
83,83,219,314,184,514,0
84,84,224,319,182,512,0
85,85,231,326,181,511,0
86,86,238,333,181,511,0
87,87,246,341,184,514,0
88,88,257,352,193,523,0
89,89,270,365,203,533,0
90,90,284,379,212,542,0
91,91,297,392,215,545,0
92,92,312,407,215,545,0
93,93,329,424,213,543,0
94,94,346,441,211,541,0
95,95,359,454,209,539,0
96,96,365,460,206,536,0
97,97,367,462,201,531,0
98,98,369,464,192,522,0
99,99,370,465,182,512,0
100,100,371,466,174,504,0
101,101,372,467,171,501,0
102,102,375,470,171,501,0
103,103,378,473,172,502,0
104,104,381,476,173,503,0
105,105,384,479,174,504,0
106,106,385,480,175,505,0
107,107,385,480,179,509,0
108,108,385,480,186,516,0
109,109,385,480,194,524,0
110,110,385,480,202,532,0
111,111,385,480,208,538,0
112,112,385,480,211,541,0
113,113,384,480,215,545,0
114,114,383,480,218,548,0
115,115,382,480,220,550,0
116,116,381,481,221,551,0
117,117,378,477,218,548,0
118,118,374,472,211,541,0
119,119,370,467,204,534,0
120,120,365,461,197,527,0
121,121,360,455,195,525,0
122,122,355,450,197,527,0
123,123,349,444,202,532,0
124,124,343,438,210,540,0
125,125,337,432,219,549,0
126,126,331,426,229,559,0
127,127,325,420,240,570,0
128,128,320,415,249,579,0
129,129,315,410,257,587,0
130,130,312,407,262,592,0
131,131,310,405,264,594,0
132,132,309,405,263,593,0
133,133,308,405,260,591,0
134,134,308,406,255,587,0
135,135,307,406,251,584,0
136,136,306,405,246,579,0
137,137,306,405,239,572,0
138,138,305,403,230,562,0
139,139,304,401,221,552,0
140,140,303,399,214,544,0
141,141,303,398,211,541,0
142,142,303,398,211,541,0
143,143,304,399,212,542,0
144,144,304,399,212,542,0
145,145,306,401,213,543,0
146,146,307,402,214,544,0
147,147,311,406,218,548,0
148,148,314,409,222,552,0
149,149,317,412,225,555,0
150,150,319,414,228,558,0
151,151,319,414,229,559,0
152,152,319,414,230,558,0
153,153,319,414,230,555,0
154,154,318,413,231,551,0
155,155,317,412,231,548,0
156,156,316,411,231,546,0
157,157,315,410,228,545,0
158,158,313,408,220,540,0
159,159,311,406,211,536,0
160,160,309,404,203,531,0
161,161,307,402,200,530,0
162,162,304,399,200,525,0
163,163,301,396,201,516,0
164,164,298,392,202,505,0
165,165,296,390,204,496,0
166,166,295,388,205,493,0
167,167,296,388,208,497,0
168,168,296,388,212,503,0
169,169,297,388,218,511,0
170,170,299,389,223,518,0
171,171,300,390,228,524,0
172,172,302,391,234,529,0
173,173,305,393,241,533,0
174,174,309,396,247,534,0
175,175,312,399,252,534,0
176,176,316,402,254,532,0
177,177,319,404,254,527,0
178,178,323,408,254,522,0
179,179,326,410,253,516,0
180,180,329,413,253,512,0
181,181,331,415,253,509,0
182,182,332,416,250,504,0
183,183,333,417,244,497,0
184,184,334,418,237,489,0
185,185,335,419,231,482,0
186,186,336,421,229,479,0
187,187,336,421,229,478,0
188,188,337,422,230,478,0
189,189,338,423,231,478,0
190,190,338,423,232,479,0
191,191,338,423,234,480,0
192,192,338,424,236,481,0
193,193,338,424,238,482,0
194,194,337,423,242,486,0
195,195,336,422,246,489,0
196,196,335,421,250,493,0
197,197,334,421,254,496,0
198,198,333,420,258,499,0
199,199,331,418,261,501,0
200,200,330,417,263,503,0
201,201,328,415,263,502,0
202,202,325,411,261,499,0
203,203,320,402,255,492,0
204,204,315,393,247,483,0
205,205,311,386,241,475,0
206,206,308,382,239,472,0
207,207,308,383,239,471,0
208,208,307,385,239,470,0
209,209,307,389,239,468,0
210,210,307,393,239,467,0
211,211,307,394,240,467,0
212,212,308,395,241,467,0
213,213,310,397,242,467,0
214,214,313,400,245,469,0
215,215,317,404,248,471,0
216,216,320,407,250,473,0
217,217,324,411,257,479,0
218,218,328,415,262,483,0
219,219,332,419,266,486,0
220,220,335,422,269,489,0
221,221,338,425,270,489,0
222,222,340,427,269,488,0
223,223,342,429,266,485,0
224,224,343,430,262,481,0
225,225,345,431,257,476,0
226,226,346,432,252,471,0
227,227,348,434,247,466,0
228,228,349,435,242,461,0
229,229,350,435,238,457,0
230,230,352,437,235,454,0
231,231,354,439,234,453,0
232,232,356,441,235,454,0
233,233,359,443,236,455,0
234,234,362,446,238,457,0
235,235,365,449,240,459,0
236,236,368,451,242,461,0
237,237,371,454,245,464,0
238,238,374,457,247,466,0
239,239,376,459,249,468,0
240,240,377,460,250,469,0
241,241,378,461,250,469,0
242,242,376,459,250,469,0
243,243,372,455,249,468,0
244,244,365,448,247,465,0
245,245,356,439,244,462,0
246,246,347,430,241,458,0
247,247,338,421,239,455,0
248,248,330,413,236,451,0
249,249,323,406,234,449,0
250,250,319,402,232,446,0
251,251,317,400,230,443,0
252,252,317,398,229,441,0
253,253,318,396,229,440,0
254,254,318,393,228,438,0
255,255,319,391,228,438,0
256,256,320,390,227,436,0
257,257,321,393,227,435,0
258,258,322,397,226,434,0
259,259,324,402,226,433,0
260,260,325,406,226,433,0
261,261,327,410,226,432,0
262,262,331,414,227,433,0
263,263,335,418,230,436,0
264,264,341,424,235,441,0
265,265,348,431,240,446,0
266,266,354,437,246,452,0
267,267,361,444,252,458,0
268,268,367,450,258,464,0
269,269,372,455,262,468,0
270,270,375,458,265,471,0
271,271,376,459,267,473,0
272,272,376,459,266,472,0
273,273,375,458,264,470,0
274,274,375,458,261,467,0
275,275,374,457,259,465,0
276,276,373,456,259,465,0
277,277,372,455,258,464,0
278,278,371,454,258,464,0
279,279,369,452,258,464,0
280,280,367,450,258,464,0
281,281,365,448,258,464,0
282,282,363,446,257,464,0
283,283,359,442,255,462,0
284,284,355,437,253,461,0
285,285,351,433,250,459,0
286,286,346,428,249,459,0
287,287,340,422,248,460,0
288,288,333,415,247,461,0
289,289,326,408,246,462,0
290,290,319,401,245,463,0
291,291,312,394,244,463,0
292,292,303,385,243,464,0
293,293,294,376,242,465,0
294,294,285,366,241,466,0
295,295,275,356,240,467,0
296,296,267,348,240,468,0
297,297,258,339,240,469,0
298,298,250,331,242,473,0
299,299,243,323,244,475,0
300,300,236,316,246,478,0
301,301,229,309,247,479,0
302,302,222,302,246,478,0
303,303,215,295,246,478,0
304,304,207,287,245,477,0
305,305,200,280,244,476,0
306,306,193,273,242,474,0
307,307,186,266,241,473,0
308,308,181,261,240,472,0
309,309,176,256,238,470,0
310,310,174,254,237,469,0
311,311,173,253,236,468,0
312,312,174,254,235,467,0
313,313,177,257,233,465,0
314,314,181,261,232,464,0
315,315,186,266,231,463,0
316,316,192,272,231,463,0
317,317,198,278,232,464,0
318,318,207,287,236,468,0
319,319,216,296,241,473,0
320,320,226,306,246,478,0
321,321,235,315,249,481,0
322,322,244,323,251,483,0
323,323,253,329,252,484,0
324,324,262,334,253,485,0
325,325,269,338,254,486,0
326,326,273,341,255,487,0
